//*   Les lignes de dialogue commence par un code du style "v2;30;"  qui précise qui parle et à quel moment le dialogue peut être lu. S'il vous plait, recopier exactement ce code dans vos traductions.
//*   La première moitié de la ligne (avant le /) est la langue d'origine des villageois et doit donc rester tel quel, et la seconde moitié doit être traduite.
v2;30;Fysiká. Schedon katastráfike synkomidí mas. I fýsi eínai arketá entyposiako, e?  / Bien sûr ! Presque toutes nos récoltes avaient été détruites. La nature peut être violente, hein ?
v1;60;Entyposiakí eínai éna prágma. Allá ímoun schedon chtypíthike apo keravno! / Violente est une chose. J'ai failli être frappé par la foudre !
v2;100;Den ítan mésa sto spíti sas? Xérete oti eínai epikíndyno éxo katá ti diárkeia mias kataigídas! / Tu n'étais pas à l'abri ? Tu sais combien il est dangereux d'être à l'extérieur pendant un orage?
v1;120;Zontaná kai na máthoun. / On apprend de ses erreurs.

newchat;key:lightningpig,weigth:1,v1:adult,v2:adult
v1;0;Ego den aisthánomai kalá ...  / Je ne me sens pas bien...
v2;30;Ti tréchei me séna? Eísai árrostos?  / Qu'est-ce qui ne va pas ? Tu es malade ?
v1;60;Ochi, ego jj-molis thymíthike kápoia ora-na symveí. / Non, j-j-je me rap-p-pelle juste d'un mauvais souvenir.
v2;100;Boreíte íchou pragmatiká epireázontai. Eíste sígouroi oti den eínai árrostos? / Tu sembles vraiment affecté. Es-tu sûr de ne pas être malade?
v1;120;N-ochi, ego aplá f-aisthánontai fovisménoi.  / Sûr, j-j'ai j-juste p-peur.
v2;150;Ti synévi loipon? / Ben alors, qu'est ce qu'il y a ?
v1;180;Katá ti diárkeia tis l-teleftaía kataigída. Perpátisa éxo apo to chorio-vv, íxera oti den boroúsa na páro píso sto chorio prin apo tin kataigída. Gi 'afto kai krýftike káto apo éna déntro.  / Lors du dernier orage, je me promenais à l'extérieur du v-v-village, et je sus que je ne pouvais pas retourner ici, avant la fin de la tempête. Je me suis caché sous un arbre.
v2;210;Tha diakindýneve ti zoí sas éxo apo to chorio! Tha boroúse na eíche pethánei!  / Tu as risqué ta vie hors du village! Tu aurais pu mourir!
v1;240;Loipon, ímoun asfalís. Sti synécheia, omos eída éna gouroúni. I lighning chtýpise. Kai oi nekroí p-gouroúni ... I-afto sikothike kai kiníthike l-san ki emás, ch-kynigoún eména me éna lampero sw-spathí!  / Bref, j'étais en vie. Mais la foudre a frappé un porc. Et ce co-cochon... Je l'ai vu se mettre sur ses deux pattes arrières, et à marcher comme nous, il m'a attaqué av-v-vec une épée brillante !
v2;290;Tha eínai anoisíes. Tha prépei na ítan énas efiáltis. / Ce que tu dis n'a pas de sens. Cela devait être un cauchemar.
v1;320;Ítan alítheia! Sosto! Sosto! Sosto! / C'était vrai ! Vrai ! Vrai ! Vrai !
v2;350;Eíste treloí. Pigaínete na párete lígo krasí, kai na iremísoun. / Tu es fou. Va boire un peu de vin, et te calmer les nerfs.
v1;380;Tha d-kánoume afto. Boreí-Ísos afto tha voithísei.  / Je, je vais le faire. Peu-peut-être que-que ça va me réconforter.

newchat;key:souvlaki,v1:adult,v2:adult,v1:male,v2:female,weigth:10
v1;0;Ach ... Souvláki, to éna kai monadiko fagito!  / Ah... Le Souvlaki, la seule et unique bonne nourriture!
v2;30;An oi ándres den échoun trofí mas-kánei tis gynaíkes ... / Si seulement vous, les hommes, aviez le même talent culinaire que nous les femmes...
v1;60;Tha kánoun to fagito tous eaftoús mas! / Nous voudrions la faire nous-même !
v2;100;Alítheia? Pos gínetai kai páli souvláki? / Vraiment ? Et comment le cuisinez-vous déjà ?
v1;130;Err ... Vázete ta psária, ochi, païdákia sto foúrno, tote ...  / Ahem... Vous mettez le poisson, non, les côtelettes d'agneau au fourneau, puis, euh...
v2;190;... vázeis me kápoion féta se éna ravdí. Den boreíte pragmatiká na mageirépsoun! / ... Puis vous y ajoutez un peu de feta sur un bâton. Vous ne pouvez vraiment pas cuisiner !

newchat;key:lonevillage,weigth:10
v1;0;Vareto. ola eínai pánta to ídio edo. / Je m'ennuie, c'est toujours la même chose ici.
v2;30;Touláchiston eínai eirinikí. / Au moins c'est tranquille.
v1;60;Típota idiaítero gia éna apomakrysméno chorio san ti dikí mas! / Rien de spécial pour un village reculé comme le nôtre !

newchat;key:city,v1:adult,v2:adult,weigth:2
v1;0;Otan ímoun mikros, íthela na eínai énas exerevnitís, na anakalýpsoun néa edáfi kai na pliroún endiaférontes néous anthropous. Allá tora? Eímai kollísei se afto to apomakrysméno chorioudáki. Thélo na páo kai na episkeftheíte néa méri.  / Quand j'étais petit, je voulais être explorateur. Découvrir de nouvelles contrées, et rencontrer de nouvelles personnes fascinantes. Mais maintenant ? Je suis bloqué dans ce petit village loin de tout. Je veux partir et découvrir de nouveaux territoires !
v2;30;Allá den tha vreíte megáli diaforá sto állo chorio. Eímaste oloi lígo polý to ídio. / Mais tu ne trouveras pas plus de différences dans les autres villages. Nous sommes quasiment tous les mêmes.
v1;60;Den milo gia ta choriá. Milo gia tis poleis, í akoma kai i poli! / Je ne parle pas de villages. Je parle de villes, ou même d'une Cité !
v2;90;I poli? Ennoeís Konstantinoúpoli? / De LA Cité? Tu parles de Constantinople?
v1;120;Nai! To kéntro tis éndoxis aftokratorías mas. Eínai to thávma tou kosmou. / Ouais ! Le centre de notre glorieux empire. C'est la plus grande merveille du monde !
v1;150;Ypárchoun perissoteroi apo 500 000 ánthropoi pou zoun ekeí, boreíte na imangine afto?! / Il y a plus de 500 000 personnes qui vivent là-bas, imagine ?!
v2;180;Akoúgetai adýnato gia ména. 500 000 ánthropoi se éna méros? / Ca me semble impossible. 500 000 personnes en un lieu ? Ca me fait rêver !

newchat;key:wine,v1:adult,v2:adult,v1:male,v2:male,weigth:10
v1;0;Min pieíte krasí mono! / Ne bois pas de vin seul !
v2;30;Posimou mazí eínai pio diaskedastiko! / C'est mieux de boire ensemble !
v1;50;Cheers gia to krasí! / Merci pour le vin !
v2;70;Cheers! / À la tienne !

newchat;key:kids1,v1:child,v2:child,notrel:sibling,weigth:10
v1;0;O bampás mou eínai ischyroteri apo ti dikí sas. / Mon papa est plus fort que le tiens.
v2;30;Ochi! O bampás mou eínai i ischyroteri sto chorio! / Faux ! Mon père est le plus fort du village !
v1;60;Ochi! O bampás mou eínai o ischyroteros stin aftokratoría! / Ah non ! Mon père est le plus fort de l'empire !
v2;90;Impossible! O bampás mou eínai i ischyroteri ston kosmo! / Impossible mon papa est le plus fort du monde !
v1;120;Sígoura o bampás mou tha boroúse na nikísei dikí sas se ligotero apo dýo chtypímata! / Je suis sûr que mon père peut battre le tiens d'une seule main !
v2;150;Párte ton bampá sas étoimos gia énan agona! / Va préparer ton père pour un combat!

newchat;key:kids2,v1:child,v1:male,v2:child,v2:female,weigth:10
v1;0;Korítsia eínai ilíthioi. / Les filles sont stupides.

newchat;key:kids3,v2:child,v2:male,v1:child,v1:female,weigth:10
v1;0;Échete dei pouthená koúkla mou? Den boro na to vro ... / Aurais-tu vu ma poupée ? Je ne la trouve pas...
v2;30;Dose mou píso to spathí mou kai tha to párei píso! / Donne-moi mon épée, et tu pourras la revoir.
v1;60;Boreíte na to éklepse! Kléftis! / Tu l'as kidnappée ! Voleur !

newchat;key:clothes1,v1:adult,v1:female,v2:adult,v2:female,weigth:10
v1;0;Écheis dei kainoúrgia roúcha mou? / As-tu vu mes nouveaux vêtements ?
v2;30;Eíste mia pragmatikí omorfiá agapité mou. o, ti tairiázei! / Tu es magnifique ma chère. Tout te va !
v1;60;Allá den eímai toso omorfi oso boreíte! / Mais je ne suis pas aussi belle que toi !
v2;90;Ohh afto den eínai alítheia, $targetfirstname! / Ohh, ce n'est pas vrai, $targetfirstname !

newchat;key:clothes2,v1:adult,v1:female,v2:adult,v2:female,weigth:1
v1;0;Échete dei néa roúcha mou? / As-tu vu mes nouveaux vêtements ?
v2;30;Eíste mia omorfiá. o, ti tairiázei, agapité $targetfirstname mou! / Tu es une beauté. Tout te va, ma chère $targetfirstname !
v1;60;Allá den eímai toso omorfi oso boreíte! / Mais je ne suis pas aussi belle que toi !
v2;90;True. / C'est vrai.
v1;100;!!! / !!!

newchat;key:clothes3,v1:adult,v1:female,v2:adult,v2:male,weigth:5
v1;0;Écheis dei kainoúrgia roúcha mou, $targetfirstname? / As-tu vu mes nouveaux vêtements, $targetfirstname ?
v2;30;Nomízo oti paliá roúcha sas fainotan polý kalýtera gia esás. / Je pense que tes vieux vêtements t'allaient mieux.
v1;60;TI? / QUOI ?
v2;70;Ochi. ochi! Eíste omorfi! Mou arései afto to néo ... prágmata! / Non... Non ! Tu es belle ! J'adore ces nouveaux... trucs !

newchat;key:clothes4,v1:adult,v1:female,v2:adult,v2:male,weigth:5
v1;0;Étsi den tha arései to néo mou forema? / Bon, tu aimes ma nouvelle robe ?
v2;30;I paliá sas tairiázei kalýtera. / l'ancienne était plus jolie.
v1;60;TI? / QUOI ?
v2;70;Hey $targetfirstname, eínai aplá i gnomi mou. / Hey, $targetfirstname, ce n'est que mon opinion.
v1;90;Touláchiston eísai eilikrinís! / Au moins tu es honnête !

newchat;key:girl,v1:adult,v1:female,v2:child,v2:male,rel:parent,weigth:5
v2;0;Ti prépei na kánete otan sas arései éna korítsi? / Qu'est ce que tu dois faire, si jamais tu aimes une fille ?
v1;30;Kánte kompliménta tis kai eínai oraío na tis. / Lui faire des compliments, et être gentille avec elle.
v2;60;Ochi! Afto eínai adýnaton! Poies tha eínai oi álloi skéftontai gia ména tote? / Non ! Je ne peux pas faire ça! Qu'est-ce que les autres penseront de moi alors ?
v1;90;An agapoúse pragmatiká, den tha noiázontai gia tous állous. / Si tu aimes vraiment quelqu'un, tu t'en fiches de ce que les autres pensent.

newchat;key:householdtry,v1:adult,v1:female,v2:child,v2:female,rel:parent,weigth:10
v1;0;Írthe i ora na sas didáxei pos na frontísei éna spíti. / Il est temps que je t'apprenne comment tenir une maison.
v2;30;Megáli, ti échoume archísei me? Boro na káno souvláki? Pleaaase! / Chouette ! Par quoi nous allons commencer ? Est-ce que je peux faire du souvlaki ? Pitiéééé !
v1;60;As doúme poso kaloí eíste sto na kánei ton katharismo prota. / Montre-moi d'abord comment tu nettoies correctement.
v2;90;Entáxei, allá tha mou deíxei pos na kánei souvláki argotera, yposchéthike? / D'accord, mais tu me montreras comment faire du souvlaki ensuite, promis ?
v1;120;Yposchetheí. / Promis.

newchat;key:doll,v1:adult,v1:male,v2:child,v2:female,rel:parent,weigth:5
v2;0;Boreís na mou agorásei afto to néo koúkla? O kathénas échei éna néo, allá ego ... / Peux-tu m'acheter une nouvelle poupée ? Tout le monde en a une nouvelle, sauf moi...
v1;30;Poia eínai i magikí léxi ? / C'est quoi le mot magique ?
v2;60;Boreíte sas parakalo na mou agorásei mia néa koúkla? / Peux-tu, S'IL TE PLAÎT, m'acheter une nouvelle poupée ?
v1;90;Entáxei, allá tha prépei na min yposchontai na milísoume pia píso! / D'accord, mais tu dois me promettre de ne plus me répondre !
v2;120;Yposchetheí. / Promis !

newchat;key:woodsword,v1:adult,v1:male,v2:child,v2:male,rel:parent,weigth:5
v2;0;Ouch...
v1;30;Eísai foverí! Ti synévi? / Tu sembles triste ! Qu'est-ce qu'il y a ?
v2;60;Loipon, o kathénas échei éna xýlino spathí, allá eména. / Ben, tout le monde à une épée de bois, sauf moi.
v2;80;Étsi apofásisan na mou epitethoún! / Ils ont voulu m'attaquer !
v2;100;Tha prépei na páro éna, pára polý! / J'ai besoin que tu m'en donne une, aussi !
v1;120;Vlépo échete chrisimopoiísei chroma gia ta simádia kai tis pligés sou. Kalí prospátheia! / Je vois que tu as utilisé de la peinture pour tes blessures et tes cicatrices. Bel essai !
v2;150;Télos pánton! Parakalo na mou dosete éna spathí! / On s'en fiche, Pitié, donne-moi une épée !
v1;180;Spathí eínai epikíndynes. Den xífos gia séna! / Les épées sont dangereuses. Tu n'en auras pas !

newchat;key:pride1,v1:adult,v1:male,v2:adult,v2:male,v1:vtype:architect_byzantine,weigth:3
v1;0;Ktíria mas eínai toso omorfo pou eínai pánta megáli gia na deíte to érgo mas! / Nos habitations sont si belles, c'est toujours un plaisir de voir notre ouvrage !
v2;30;Oi Mágia théloun na dimiourgísoun polý oraía domés, kathos kai. / Les Mayas érigent de très belles constructions aussi.
v1;60;Min me enochloún me tétoia weirdos. Ta ktíriá mas faínontai polý kalýtera! / Ne me contredis pas avec tes bizarreries. Nos bâtiments sont les plus beaux !
v2;90;Loipon ... / Ahem...
v1;100;Prodoti! Écheis kamía ethnikí yperifáneia? / Traître ! Tu n'as pas d'honneur envers ta patrie ?

newchat;key:pride2,weigth:10
v1;0;Emeís oi Romaíoi boreí na eínai pragmatiká yperífanoi gia osa échoume petýchei! / Nous, Romains, pouvons être fiers de ce que nous avons bâti.
v2;30;Fysiká! o, ti égine deíte apo emás! / Bien sûr! Tout ce que tu vois est notre travail !
v1;60;I pio ischyrí aftokratoría stin istoría tou kosmou! / Le plus puissant des empires de l'histoire du monde !
v2;90;Álla éthni tha apoláfsete se doxa mas. / Les autres nations doivent s'agenouiller devant notre gloire !
v1;120;Tha prépei na! Eímaste oi kyríarchoi! / Ils le doivent ! Nous sommes les maîtres !

newchat;key:pride3,weigth:10
v1;0;I romaïkí aftokratoría tha kyvernísei ton kosmo gia álli mia forá!  / L'empire Romain dirigera le monde une fois de plus !
v2;30;Emeís tha! / Nous y arriverons!
v1;60;Ola tha eínai kalýtera sti synécheia! / Tout sera meilleur ensuite !
v2;90;Nai! / Ouais!
v1;100;Cheers gia tin aftokratoría! / Gloire à l'empire !
v2;110;Cheers! / Santé!

newchat;key:rain,tag:notraining,weigth:10
v1;0;Tha vréxei. Sýntoma. / Il va pleuvoir. Bientôt.
v2;30;Boro na aisthánomai, pára polý. / Je peux le sentir aussi.
v1;60;Períergo. Eínai pánta i ídia posotita iméres méchri vréchei. / Bizarre. C'est toujours le même nombre de jours entre chaque averse.
v2;100;Nomízete oti étsi, pára polý? / Tu trouves aussi ?
v2;125;Períergo zoí edo, étsi den eínai? / La vie est étrange ici, n'est-ce pas ?
v1;155;Sígoura! / C'est sûr!

newchat;key:weird1,v2:child,weigth:1
v1;0;Koíta afto to gouroúni! Eínai charitoméno, étsi den eínai? / Regardes ce porc, n'est-il pas mignon ?
v2;30;WAAAaaah, fýge! / AAAaaah ! Dégage !
v1;60;Fovásai ton choíron? / As-tu peur des cochons ?
v2;80;N-ochi! Den eímai! / N-non ! Bien sûr que non !
v1;110;Hahahahahaha! Tora afto eínai asteío! / Hahahahahaha! Comme c'est drôle !

newchat;key:weird2,weigth:1
v2;0;Aaa ... Kalí souvláki. Thélete mia boukiá? / Ahh... Du bon souvlaki. tu veux un morceau ?
v1;30;*Bites* / *Cronch*
v1;40;Sas efcharisto! Agapo souvláki. / Merci ! J'adore le souvlaki.
v2;70;Poios den! / Qui n'aime pas !
v1;100;Échete poté prospathísei na thései kápoia vromiá gia souvláki? / As-tu déjà essayé de mettre un peu de terre dans le Souvlaki ?
v2;140;... / ...
v2;150;Ochi? / Non ?
v1;170;Merikés forés káno ... Ach .. ola xekínisan otan souvláki mou épese sto édafos pérysi ... Delicous! / Parfois je le fais... Ah... Ça a commencé lorsque mon souvlaki est tombé dans l'herbe l'année dernière... Délicieux !
v2;220;Periménete! Vázete souvláki sas sti vromiá kai sti synécheia na to fáte? Ti sto diáolo ..? / Quoi ? Tu laisses tomber ton souvlaki dans la terre et tu le manges ? Mais, mais.. ?
v1;260;Allá kalo goústo! /  Mais ça a vraiment du goût !
v2;280;Eíste pragmatiká trelos. / Tu es givré.

newchat;key:weird3,weigth:1
v1;0;Thélo na odigíso éna gouroúni! / Je veux chevaucher un cochon !
v2;30;Giatí? / Pourquoi?
v1;60;Eínai diaskedastiko! / C'est cool!
v2;80;Giatí sto kalo tha odigíso éna gouroúni? / Pourquoi Diable voudrais-tu monter un cochon ?
v1;110;Epeidí eínai diaskédasi! / Bah parce que c'est cool !
v2;120;Eísai trelos. / Tu es fou à lier.

newchat;key:chatter1,v1:female,v2:female,v1:adult,v2:adult,weigth:15
v1;0;Échete ídi akoúsei gia to mystiko tou xylokopos tou? / As-tu déjà entendu le secret du bûcheron ?
v2;30;Ochi, ti eínai láthos me afton? / Non, qu'est-ce qui ne tourne pas rond avec lui ?
v1;60;Faínetai na syllégoun ta míla, kai ta poloún stous Normandoús! / Il semble récolter les pommes, et les vendre à ces Normands !
v2;90;No way! Kai kratá ta chrímata? / C'est impossible ! Et il garde l'argen t?
v1;120;Fysiká! / Evidemment !

newchat;key:chatter2,v1:female,v2:female,v1:adult,v2:adult,weigth:15
v1;0;O sýzygos mou eípe oti énas varonos tha episkeftheí to chorio mas sýntoma!  / Mon mari dit qu'un baron va bientôt visiter notre village!
v2;30;Giatí tha prépei na échei érthei edo? / Pourquoi viendrait-il ici?
v2;40;Éna tétoio ischyro, ischyros kai omorfos ántras ...  / C'est un homme de poigne, influent, et redoutable...
v1;70;Ti? Boreíte na tous arései? / Quoi ? tu aimes ce genre d'hommes ?
v2;100;Tha prépei na paradechto oti eínai elkystikí! / Avoue qu'ils sont attirants !

newchat;key:chatter3,v1:female,v2:female,v1:adult,v2:adult,v1:hasspouse,v2:hasspouse,weigth:15
v1;0;Ypárchei mia chalarí gynaíka sto geitoniko chorio!  / Il y a une femme de mauvaise réputation dans le village d'à côté !
v1;20;Sýmfona me tous ischyrismoús, akomi kai oi ándres tou chorioú mas échoun páei ekeí!  / Il semblerait que certains hommes de nos villages soient allés la voir !
v2;60;Kako eidíseis! Écho na amfisvitísei ton ántra mou! / Horrible ! Je dois demander à mon mari !
v1;90;Mine faínetai na eínai athoos. Den eíste sígouroi gia to diko sas, agapité mou!  / Le mien semble innocent. Mais je ne suis pas sûre du tiens, ma chère !
v2;120;Elpízo na eínai toso kalá. Échei kalýtera. / J'espère qu'il l'est aussi. Il a intérêt.

newchat;key:chatter4,v1:female,v2:female,v1:adult,v2:adult,,v1:hasspouse,weigth:15
v1;0;Mou arései na vlépo paidiá na paízoun! / J'aime regarder les enfants jouer !
v1;20;Tha me kánei pánta na théloun na échoun éna moro! / Ca me donne toujours envie d'avoir un bébé !
v2;50;Eíste sígouroi oti eíste se thési na to antéxoun oikonomiká?  / Es-tu sûre d'avoir de quoi te le permettre ?
v2;70;Ta paidiá eínai akrivá!  / Les enfants nous ruinent !
v1;100;Den anisycheí edo! O ánthropos mou échei perissotero apo arketá chrímata. / Ne t'inquiètes pas pour ça ! Mon mari a plus qu'assez d'argent.

newchat;key:chatter5,v1:female,v2:female,v1:adult,v2:adult,v2:hasspouse,weigth:15
v1;0;Agapité mou, o ánthropos sas eínai énas méthysos!  / Ma chère, ton mari est un soiffard !
v2;15;Pos boreís na to les afto? / Comment oses-tu dire ça ?
v1;45;Sýzygos sas írthe methysménos sto spíti mas chthes to vrády!  / Ton homme est venu saoûl chez nous la nuit dernière !
v1;70;Eípe oti thélei na pantrefteí éna provato.  / Il nous a dit qu'il voulait se marrier avec un mouton.
v1;100;Kai oti tha ypárxei mia terástia celebretion gámo! / Et que ce serait sûrement une immense fête de mariage !
v1;130;Parakaloúme, anaktísei ton élencho páno apo to átomo sas.  / S'il te plaît, reprends le dessus sur ton mari.
v1;150;Eínai pragmatiká anatrichiastiko. / C'est vraiment embarrassant.
v2;180;Entáxei entáxei, ego tha ton timorísei! / D'accord, d'accord, je vais le punir !
v2;210;Den krasí gi 'afton! / Privé de vin !

newchat;key:chatter6,v1:female,v2:female,v1:adult,v2:adult,weigth:15
v1;0;Psomí sas eínai toso nostimo! Poio eínai to mystiko sas? / Ton pain est si délicieux ! Quel est ton secret ?
v2;30;Aplá prosthéste lígi záchari mésa.  / Juste un peu de sucre ajouté à la pâte.
v1;60;Alítheia? Típota perissotero?  / Vraiment ? Rien de plus ?
v2;90;Afto ítan! Tha gefteíte tin diaforá. / Rien de plus ! Tu verras la différence.

newchat;key:chatter7,v1:female,v2:female,v1:adult,v2:adult,v2:hasspouse,weigth:15
v1;0;Poios ítan o ánthropos pou échete episkeftheí chthes to vrády? / Qui était cet homme que tu as vu la nuit dernière ?
v2;30;Ti ánthropos? / Quel homme ?
v1;40;O ánthropos pou sýrthike éxo apo to paráthyro sas! / L'homme qui est sorti en douce par ta fenêtre !
v1;45;Min nomízete oti den tha paratirísete! / Ne crois pas que je ne l'ai pas vue !
v2;60;Pos tolmás ..? Ímoun kai eímai pánta pistí sto sýzygo mou. / Comment oses-tu..? Je suis et je resterai toujours fidèle à mon mari.
v1;80;Nai, nai. Tha élega oti, kathos, an ímoun sti thési sou. / Oui, oui. Je voudrai dire la même chose, si j'étais à ta place.
v2;110;fto den eínai díkaio! Min diadídoun fímes gia ména. / Ce n'est pas vrai ! Ne répands pas de rumeurs sur moi.

newchat;key:chatter8,v1:female,v2:female,v1:adult,v2:adult,weigth:15
v1;0;Aftá ta néa ergaleía mageirikís eínai exairetiko! / Ces nouveaux ustensiles de cuisine sont géniaux !
v2;30;Nai, kánei to mageírema toso éfkolo! Eínai diaskedastiko! / Oui, c'est tellement plus facile de cuisiner avec ! c'est super !
v1;60;Efcharisto pigaínei stous Smiths kai technítes, oi opoíoi skefteí tétoia prágmata! / Mille merci aux forgerons et aux artisans, qui ont pensé de telles inventions !
v2;90;Nai! Gi 'afto mou arései na Romaïkí. / Oui! C'est pour cela que je suis fière d'être Romaine.

newchat;key:chatter9,v1:female,v2:female,v1:adult,v2:adult,v1:notvtype:lady_byzantine,v2:notvtype:lady_byzantine,weigth:15
v1;0;Eímai ziliáris afton ton plousíon. / Je suis jaloux de ces gens riches.
v1;20;Échoun tétoia oraía roúcha apo metáxi! / Ils ont de si beaux vêtements en soie!
v2;50;Afto den eínai pragmatiká díkaios. Den kánoun típota kai na párete ta kalýtera prágmata pou oútos í állos. / Ce n'est vraiment pas juste. Ils ne font rien et obtiennent quand même les meilleures choses.

newchat;key:chatter10,v1:female,v2:female,v1:adult,v2:adult,weigth:1
v1;0;Échete akoúsei gia afto to varono se éna geitoniko chorio? / As-tu entendu parler de ce baron dans le village voisin ?
v2;30;Nai, afto eínai to éna tou opoíou i gynaíka vréthike dolofoniméni? / Oui, c'est celui dont on a retrouvé sa femme assassiné e?
v1;60;Akrivos! O sýzygos mou mou eípe mono oti o varonos aftoktonise ti gynaíka tou! / Exact ! Mon mari vient de me dire que le baron l'aurait tuée de ses propres mains !
v2;100; .. Ti? / Quoi..?
v2;130;Pánta íxera oti eprokeito na! / J'ai toujours su qu'il le ferait!
v2;150;Allá kaneís den me písteve ..! / Mais personne ne m'a crue.

newchat;key:chatter11,v1:female,v2:female,v1:adult,v2:adult,v1:hasspouse,weigth:15
v1;0;Échete poté skefteí gia to pos tha ítan an eíchame ton polemo? / T'es-tu déjà demandé comment cela serait si nous étions en guerre ?
v1;30;Ypárchoun akomi kai tora oi ándres agonízontai gia ti chora mas! / Il y a maintenant des hommes prêts à se battre pour notre patrie !
v1;55;Thavmázo pragmatiká tous! / Je les admire !
v2;80;Énas polemos tha eínai tromero. / Une guerre serait terrible.
v2;110;Ego na mantépsete akrivos san stratiotes. / tu parles comme un soldat.
v2;140;Allá échete énan ántra! / Mais tu as un mari !
v1;170;Allá énas tempélis kai sychná methysménos éna! / Mais il est fainéant et alcoolique !

newchat;key:talking3,v1:male,v2:male,v1:adult,v2:adult,v1:hasspouse,v2:hasspouse,weigth:15
v1;0;Den échoume arketo krasí se afto to chorio! / Nous n'avons pas assez de vin dans ce maudit village !
v2;30;Symfono! Prépei na chtísoume páno ampélia! / Je suis d'accord ! Nous devons installer plus de vignobles !
v1;60;Kai perissoteres tavérnes! / Et de tavernes !
v2;90;Ti tha gínei me to ánoigma dikí mas tavérna? / Pourquoi ne pas ouvrir notre propre taverne ?
v1;120;Megáli idéa! As to schédio afto. / Bonne idée ! Il faut qu'on planifie ça.
v2;150;Allá poú na archísoume? / Mais comment allons nous débuter?
v1;180;Kai oi gynaíkes mas den tha eínai eftychís na akoúso afto! / Et nos femmes ne seront pas très contentes d'entendre cela !
v2;210;Ochi, polisi romaïko krasí eínai pánta mia dikaiología! / Mais non, vendre du vin Romain est toujours une bonne excuse !
v1;240;Entáxei! Sti synécheia, afíste mas na exoikonomísete chrímata mas. / Très bien ! Il faut qu'on économise de l'argent.
v1;270;Otan échoume kerdísei arketá, as ekplirosei to schédio mas! / Quand nous aurons assez, on pourra réussir notre objectif !
v2;300;Tha échoume ti megalýteri tavérna se oli tin aftokratoría! / Nous aurons la plus grande taverne de tout l'empire !
v1;325;Sígoura! / Pour sûr !

