travelbook.culture.desc=The Seljuks, a Turkish dynasty with strong and disciplined soldiers ruling the near east. This culture has stunning architecture and delicious cuisine. It lives according to the rules of Islam.

travelbook.villager.turk_armourysmith.desc=	This man spends his days crafting Turkish armor and weapons in a way that only a Turk could.
travelbook.building.passnode.desc=	A crossroad where traders and villagers meet and excange news and gossip
travelbook.building.pistachiotrees.desc=	A plantation for pistachios, the lumberjack occasionally comes to collect them.
travelbook.building.playerhousegift.desc=	A gift house for the player to live and store his items in.
travelbook.building.playerhousemed2.desc=	A house that the player can buy to live and store his items in.
travelbook.building.playersmall1.desc=	A house that the player can buy to live and store his items in.
travelbook.building.ruin.desc=	A devastated ruin.
travelbook.building.ruinlonemine.desc=	An abandoned mine
travelbook.building.ruinwall.desc=	A ruined ancient wall.
travelbook.building.ruinwell.desc=	A ruined ancient well.
travelbook.building.sarayfort.desc=	The breathtaking Seljuk Castle built for its mighty emir. Traders settle here to do business with the villagers. The imam of the village also lives here.
travelbook.building.sarayfort_a_imams.desc=	This house is home to the family of the imam.
travelbook.building.sarayfort_a_market.desc=	Tents for traders from near and far.
travelbook.building.sarayfortplayer.desc=	The breathtaking Seljuk Castle built for its mighty emir. Traders settle here to do business with the villagers. The imam of the village also lives here.
travelbook.building.smallmosque.desc=	A small mosque for the villagers to do their prayers. It is prayed 5 times a day.
travelbook.building.sugarcanefarm.desc=	A small sugar cane farm. The resulting sugar is used to make delicious sweets.
travelbook.building.thmosque.desc=	A great mosque. Built to keep the faith and to manage the village.
travelbook.building.thmosque_a_archive.desc= An archive under this mosque that stores the history and information of the village.
travelbook.building.thmosque_a_femaleside.desc=	The area where women perform their prayers.
travelbook.building.thmosque_a_inn.desc= A stay built for the traders in the town hall.
travelbook.building.watchtower_a_soldier0.desc=	A mighty Seljuk soldier lives here.
travelbook.building.weaver.desc= Carpets, clothes, everything that has to do with cotton and wool is made here.
	
