newchat;key:stone,weigth:10
v1;60;In tuukul letio'ob xota'an u k'iin... / Я думаю, что они были прокляты... 
v2;90;Ma' yaan ma' na'at. Letio'ob yaan wíinik he'ebix tuláakal to'on. / Не глупи. Они люди, как и все остальные. 
v1;120;Ma' péek óol yaan káaltalil k'eex beey. In antal chich leio'ob ma' yaan beey. / Это, без сомнения, алкоголь изменил их так. Я уверен, что такими они были не всегда. 
v2;150;Wale' teech antal k'aw. / Вы, наверное, заблуждаетесь.

newchat;key:alchimist,weigth:4;
v1;0;Ch'óoch' káax, in il báaxal t'aan wáay. / Исследуя лес, я встретил забавного алхимика.
v2;30;¿Teech' he'ebix leti' léeyli'e'? Leti' yaan su'utsil hela'an. / Вы тоже его видели? Он до смешного странный.
v1;60;"¡Yéetel bixi'! Leti' yaan hun ts'íib hela'an xa'ak'. ¿Teech oohel "tseek' baakel muuts'" wa "sa'am utia'al píixan" p'aax a'al? / А как же. Там был список странных ингредиентов. Знаете, что такое "череп скелета-иссушителя"? Или "песок душ"?
v2;90;Ma'. Kurx ma' yaan hach hets' tuukul. / Нет, но это не очень обнадёживает.
v1;120;¡Kurx! To'on tuukul leti' óot beet ich tuunich yum k'iin. / Да! Мы думаем, что он пытается сделать философский камень.
v2;150;Tohol $targetfirstname, beey teech tuukul huum u tsikbalil wáa ba’ax, teech antal hach k'as tuukul kab yaan táax. / Храбрый $targetfirstname, если вы верите в слухи, то вы рискуете поверить и в то, что Земля круглая.
v1;180;Teech antal wáa ma'alob. / Вы, наверное, правы.

newchat;key:dragonegg,v1:adult,v2:adult,weigth:5;
v1;0;Kin il ich hela'an he' boox ich bilim. / Я видел странное чёрное яйцо в пустыне.
v2;30;Ah, ¿ich wa maax? ¿Bixi' haah il? / О, правда? На что это было похоже?
v1;60;Yaan noh, yaan wóolis chak puk’e’en. Yaan hach noh. ¡Nohoch! / Оно было большое, с фиолетовыми пятнами. Очень большое.
v2;90;¿Teech uk' Norman máak sen ya'ab wa teech antal p'a'as? / Ты снова пил норманский алкоголь? Или ты шутишь?
v1;120;Ba'ale'... ¡Haah haahil! / Но... Это правда! Клянусь!
v2;150;¡Jaja! Teech tuukul teech tuus beey, ¡teech k'aw! / Ха-ха! Если ты думаешь, что можешь меня так обмануть, то ты ошибаешься!

newchat;key:wither,weigth:3;
v1;0;Ich k'aáx in il ich hela'an boox paal. / В лесу я увидел странное чёрное существо.
v2;30;¿Haah haahil? Tsool, ¡in k'áat oohel máas! / Правда? Опишите его, мне любопытно!
v1;60;Leti' yaan boox he'ebix baakel paal, yiknal ho'ol ich ts'ook utia'al k'ab, yéetel ich kaal, yéetel yaan ta' hach ke'el he'ebix ha' chichkunta'an tumen ke'el wáa síis... / Ну, это был черный скелет, похожий на существо, с двумя головами на конце его рук и одной на шее, и он выглядел холодным, как лёд... 
v2;90;Xi'ix mukuy pu'uch. / У меня мурашки по спине побежали.
v1;120;Enderwíinik antal k'óoch leti'. / Эндермен напал на него.
v2;150;¿Ederwíinik? Letio'ob ma' kuxtal, teech antal wayak'. / Эндермен? Они не существуют, вы всё выдумали.

newchat;key:bakery,notbuilding:mayanbakery,weigth:7;
v1;0;To'on p'aax wa'akum nah hun tu'ux ku meenta'al yéetel ku ko'onol waah. Too'n antal ich meyahil. / Мы должны построить пекарню. Это вовлечёт нас в дело.
v2;30;Haah u t'aan. To'on ma' kukin otoch waah. / Это правда. Мы не довольствуемся домашним хлебом.
v1;60;Bin ich t'aan ich halach wíinik. / Пойдём поговорим с вождём.

newchat;key:bestdad,v1:child,v2:child,weigth:8;
v1;0;Tin taatáa yaan toop tumen leti' haah hun ma'ako'ob mol che'. / Мой отец лучший, потому что он дровосек!
v2;30;¡Jah! ¡Che' haah ma' k'abéet! Tin taatáa yaan toop tumen antal sahkab máako'ob. / Пфф! Дерево бесполезно! Мой лучше, потому что он шахтёр!
v1;60;Mina'an che', a taatáa ma' meyah. / Без дерева у твоего отца не будет работы.
v2;90;¿¡Ba'ax!? ¿Teech kaxan hun? / О, да!? Ты хочешь, чтобы тебя выгнали?
v1;120;Ka'anal, tuunich ma' yaan meyah. ¡Ta'! / Успокойся, камень бесполезен, признай это.
v2;150;¡Mina'an tuunich, a taatáa weneh yáanal eek'! / Без камня твой отец спал бы под звёздами! 

newchat;key:becomeadult,v1:child,v2:child,weigth:9;
v1;0;Kin yaan sahakil utia'al suut nohoch máak. / Я боюсь стать взрослым.
v2;30;¿Ba'ax ten? / Почему это? 
v1;60;Tumen... Yaan hach hach meyahil yéetel ma' báaxah... / Потому что... Слишком много работы, и мы больше не сможем играть...
v2;90;Teech il, ¡toop! / Вот увидишь, это здорово!
v1;120;Ma'... Kin ma' k'áat! Kin ma' k'áat! Kin ma' k'áat! / Нет... Я не хочу, я не хочу, я не хочу!

newchat;key:rebellion,v1:child,v2:child,rel:sibling,weigth:6;
v1;0;¡Taatáa yéetel na' yaan k'aw! ¡To'on yaan léeyli'e' cho' tin otoch! / Мама с папой несправедливы к нам! Мы всегда должны убирать нашу комнату!
v2;30;¡Kurx! ¡To'on p'aax e'es yéetel k'áat hun kuxtal hach tsikbe’en! / Да! Мы должны сопротивляться и требовать лучшего обращения!
v1;60;¡To'on il! ¡Teech na'! / Давай сражаться! Сосредоточься на матери!

newchat;key:japanese,v1:adult,weigth:8;
v1;0;Eh, $taargetfirstname, il. / Эй, $targetfirstname, посмотри на это!
v2;30;¡Báaxal t'aan ts'oons! ¿Tu'ux teech antal? / Забавный меч! И забавный лук! Где ты это взял?
v1;60;Haah yumi yéetel tachi. Utia'al Japanese máaskab. / Это лук Юми и Тачи. Из японской кузницы.
v2;90;Haah hats'uts yéetel k'abéet. ¿Haah ko'ok? / Красиво и эффективно. Это было дорого?
v1;120;¡Kurx! ¡In ch'iin 2 sak taak'in yiknal yumi! / Чёрт возьми да! Я потратил две серебряные монеты только на лук!
v2;150;¡Oohh! Teech líik'es hach táanil maan. / Ого! Тебе надо было сэкономить, прежде чем покупать их.

newchat;key:exchange,v1:adult,v2:adult,v1:male,v2:male,weigth:9;
v1;0;Heh, $targetfirstname. ¿To'on k'íiwik toohol koonol? / Здравствуйте $targetlastname, сэр. Наш рынок ещё держится?
v2;30;Kurx, kurx. He'ebix in a'al, in yaan túulis. / Да, да. Как говорится, у меня есть всё.
v1;60;¡Huntiich ich k'iin! Haah ma'aldo beet meyahil yiknal teech. / Всегда безупречно! Приятно иметь с вами дело.
v2;90;Ki’imak óolal haah tin. Le túun... 32 chuun che' tumen 8 máaskab. ¡Péeka'an! q/ Всё это удовольствие моё. Так... 32 бревна против 8 железных слитков. Вуаля!
v1;120;Hach dyos bo’otik, yuum. Teech yaan ich ma'aldo k'iin. / Большое спасибо, сэр. Хорошего дня.
v2;150;Teech, yuum $targetlastname! / Вам того же, мистер $targetlastname!

newchat;key:embauchement,v1:adult,v2:vtype:mayan_warrior,weigth:7;
v1;0;Kin meyah máak teech tia'al kalan in, tumen 48 Deniers tumen k'iin. / Я найму тебя, чтобы ты защищал меня, в обмен на 48 монет в день.
v2;30;Amm... koonol bahux k'iin teech meyah máak, $targetfirstname. / Хммм. Зависит от того, на сколько ты меня наймёшь, $targetfirstname.
v1;60;6 K'iin. Tin xiibil peek' ma' ka'ans tia'al kalan in kin. / Шесть дней. Моих собак недостаточно, чтобы они обеспечили мне полную защиту.
v2;90;Hun Argentum. Ma' óotsil. / Хорошо, серебренная монета. Ни меньше.
v1;120;¡Lelo' haah ookol! / Это ограбление!
v2;150;Ma', $targetfirstname. Kin péek óol tin kuxtal waye' meyahil. / Не совсем, $targetfirstname. Я рискую своей жизнью на этой работе.

newchat;key:cereal,v2:vtype:mayan_farmer,weigth:9;
v1;0;Kin k'áat pak'al arroz. / Я попробую вырастить немного риса.
v2;30;¿Arroz? ¿Ba'ax yaan? / Рис? Что это такое?
v1;60;Hun aban in maan utia'al Indians. ¡Letio'ob t'aan yaan ki'! / Растение, которое я купил у индейцев. Говорят, вкусно!
v2;90;¿Kin páahtal túum? / Можно попробовать?
v1;120;Yah tu yool, ma'. Kin pak' neek'. / К сожалению, нет. Мне нужно посадить все зёрна.
v2;150;Lelo' ma' antal k'abéet. / Они не вырастут.

newchat;key:zombiepigmen,weigth:6;
v1;0;¿Teech il chak iik' hach túumben? / Вы видели последний шторм?
v2;30;¡Yéetel he'ebix! Tin koolki' óolt ha', kurx kin yaan sahkil. / А как же! Наши посевы наслаждались водой, но это было ужасно.
v1;60;Kin antal pak'al, yéetel antal k'éek'en tséel kin. / Ну, я был на равнинах, и рядом со мной была свинья.
v2;90;¿Yéetel? / И?
v1;120;Hun haats' cháak yéetel leti'... Leti' níikil paachil mo'ol... / Молния ударила и... Она встала на ноги...
v2;150;¿Haah u t'aan? ¿Bixi' il? / Правда? На что это было похоже?
v1;180;Lei' yaan kuuxum ya'ax óok'ol... wa wa ba'axhe'ebix leto'. Lei' yaan xtol k'uun. / На ней была зелёная плесень.. или что-то в этом роде. И у неё также был золотой меч.
v2;210;¿Teech kóoch wa hóok'ol? / Вы напали или сбежали?
v1;240;In antal ma' xtol. Kurx leti' ma' k'áat kóoch kin. Leti' il kin, suut, yéetel xíimbal ma' ohéelal t'aan máan. / Я был безоружен. Но она не хотела нападать на меня. Она посмотрела на меня, повернула голову и ушла, не зная, что происходит.
v2;270;Teech p'aax ts'aa k'áak'. ¿Yéetel k'óoch chan kaah? / Вы должны были использовать огонь. Что если она нападёт на деревню?
v1;300;Kurx haats' cháak, yéetel leti' uúy mix ba'al. / Она была непроницаема для огня, молния ударила её снова, и она ничего не почувствовала.

newchat;key:recolt,weigth:10;
v1;0;T'ook yaan pik'taan tun. / В этом году урожай в изобилии.
v2;30;Kurx, yéetel tak ho'ol yaan chich pool. / Да, жаловаться было бы глупо.
v1;60;¡Wáa! / В самом деле!

newchat;key:village,weigth:8;
v1;0;Kin tuukul chan kaah il ma'aldo. / Я думаю, наша деревня выглядит хорошо.
v2;30;Wáa. Yaan hach hats' uts. / Я тоже так думаю, это очень художественно.
v1;60;Yaan dyos bo'otik tuunich yéetel na'at meent. / Это всё благодаря камню и нашему мастерству архитектуры.

newchat;key:peasantdialog,v1:vtype:mayan_peasant,v2:vtype:mayan_peasant,weigth:10;
v1;0;Hach hach nal tia'al hooch, hach kóom k'iin... / Столько кукурузы надо собрать и так мало времени...
v2;30;Kurx, in k'áat to'on yaan xet' utia'al hooch. / Да, я надеюсь, что мы соберём хотя бы часть урожая.

newchat;key:playerorigins,weigth:10;
v1;0;$name haah ich hela'an máako'ob. / $name довольно странный.
v2;30;Haah hach hela'an ka normans. / Даже страннее, чем норманы.
v1;60;¿Kurx utia'al tu'ux taal leti'? / Но откуда он?
v2;90;Kin ma' antal, leti' ma' haah il he'ebix uláak' chan kaah. / Не уверен, что он вообще из какой-то культуры.

newchat;key:byzantins,weigth:9;
v1;0;Kin ma' muk'yah ich leio'ob Byzantines, ¡letio'ob tuukul letio'ob yaan yuumil lu'um! / Я не выношу византийцев, они думают, что владеют этой землёй!
v2;30;¿Yéetel teech il lelo'ob nahils? / А ты видел их постройки?
v1;60;Kurx kin il lelo'ob, hach hela'am. / Да, очень странные.
v2;90;¿Pak'lu'um? ¿Ka haah xuul? / Кирпичи? Какой в этом смысл?
v1;120;Letio'ob ts'aa ba'al utia'al xukul, he'ebix Normans. / Они даже используют стекло, как норманы. 
v2;150;Túun, kurx leio'ob il hach máan táanil ka indians. Letio'ob chéen yaan hool. / Это правда, но они кажутся более продвинутыми, чем индейцы. У них вообще ничего нет в окнах.

newchat;key:dialogchildmother,v1:child,v2:adult,v2:female,rel:parent,weigth:10;
v1;0;¡Na'! ¿Kin páathal bin báaxal táanakb chan kaah? / Мама! Можно поиграть подальше от деревни?
v2;30;Ma' tin paal, kin ma' k'áat ka teech k'ool. / Нет, дитя моё, я не хочу, чтобы ты пострадала.
v1;60;K'ool utia'al ka? Ma' haah hach k'as táanak. / Пострадать от чего? Снаружи не опасно.
v2;90;U'uy, yaan hach k'as paal táankab... / Послушай, там есть опасные существа...
v1;120;¿K-ka xook utia'al paal, na'? / К-Какие существа, мама?
v2;150;K'aas ba'al he'ebix... creepers. / Такие ужасные штуки как...Криперы
v1;180;C-c-creepers? / К-к-криперы?
v2;210;Kurx tin paal, letio'ob áalkab paach teech chan kaah yéetel waak' teech. / Да, дитя моё, они пойдут за тобой домой и взорвут тебя, когда ты меньше всего этого ожидаешь.

newchat;key:tobewarrior,v1:vtype:mayan_warrior,v2:notvtype:mayan_warrior,weigth:9;
v1;0;Antal máako'ob ba'ate'el yaan ma'aldo ka in beet. / Стать воином было лучшим решением в моей жизни.
v2;30;¿He'ebix bin?? / Как так вышло?
v1;60;Tumen kin páahtal bin aantah ich toop ch’a’ k’uxta’an, hach  náays óol ka hooch ixi'im. / Потому что я могу выйти и помочь бороться с врагами, это гораздо веселее, чем сажать кукурузу.
v2;90;Kux kuxtal yaan máas hets'. / Но моя жизнь намного безопаснее.
v1;120;Túun, kux huntiich' antal óot hach k'as. / Правда, но мне всегда хотелось острых ощущений.

newchat;key:likemydad,v1:male,v2:child,v1:child,weigth:8;
v1;0;¡Kin k'áat yaan he'ebix taat utia'al noch. / Я хочу быть как мой отец, когда вырасту!
v2;30;¿Hun sahak? / Слабаком?
v1;60;¿Ba'ax? Ma', Leti' ma' yaan hun sahak. / Что? Нет, он не слабак.

newchat;key:palace,v1:vtype:mayan_king-mayan_leader-mayan_chieftain,v2:adult,weigth:9;
v1;0;Leti' kuxtal kuxtah tin ha'ak'óol nukuch nah. / Это без сомнения жизнь
v2;30;¡Yéetel yaan hun ha'ak'óol nukuch nah, tin chanan! / And a very marvelous palace it is my leader! 

newchat;key:become,v1:adult,v2:child,v2:male,rel:child,weigth:9;
v1;0;¿Kex teech k'áat yaan utia'al noch? / Кем ты хочешь стать, когда вырастешь?
v2;30;Kin ma' oohel, wale' kanan, wa pan... we'matz wale'.. / Не знаю, может быть, воин или шахтёр...возможно фермер...
v1;60;Teech yaan yéey hayp'éel k'iin. / Что ж, когда-нибудь тебе придётся принять решение.

newchat;key:wah,weigth:9;
v1;0;Kin yaakun hanal wah. / Я так обожаю есть Вах.
v2;30;¡Kin léeyli'e'! Yaan alobkin tuukul. / Я тоже! Лучшая вещь, которую могли придумать.

newchat;key:rain,v1:female,v2:female,v1:hasspouse,v2:hasspouse,weigth:9;
v1;0;To'on k'abeet cháak tia'al ixi'im. / Нам нужен дождь для кукурузы.
v2;30;Kin óot cháak. / Как бы я хотел, чтобы пошёл дождь.
v1;60;Wale' beey payal chi', píixan ts'a'ah to'on hun hooch nohoch lelo' tun. / Может быть, если мы пойдём молиться, духи дадут нам дождь, пригодный для идеального урожая в этом году.
v2;90;Ma'aldo, bin behla'e' túumen to'on ma' antal tusbel. / Хорошо, пойдём, как только не будем заняты.

newchat;key:zombie,v2:vtype:warrior,v2:vtype:mayan_warrior,weigth:8;
v1;0;¿Yéetel beey hun túuk utia'al kimen k'óoch? / Что мы будем делать, если к нам вторгнется орда зомби? 
v2;30;Teech ma' tuukul, kin yaan ba'ate'el máako'ob ti' lu'um. / Не волнуйся, я лучшей обученный воин во всех этих землях. 

newchat;key:rich,v1:female,v2:vtype:mayan_peasantwife,v1:vtype:mayan_peasantwife,weigth:8;
v1;0;Ix yaan túulis, ma' beet mix ba'al. / У богатых женщин нет никакой работы.
v2;30;Kux, kin tuukul kuxtal beey. / Да, я бы хотел, чтобы со мной так обращались.
v1;60;Kin tuukul kin ts’o’okol beel yiknal wa maax yiknal máas taak'in. / Я знал, что я должен был жениться на более богатой.

newchat;key:rule,v1:male,v2:male,v1:notvtype:mayan_king-mayan_leader-mayan_chieftain,v2:notvtype:mayan_king-mayan_leader-mayan_chieftain,weigth:9;
v1;0;Kin pa'at hayp'éel k'iin kin ahau lela' chan kaah. / Надеюсь, что однажды я буду править этой деревней.
v2;30;Teech toohol náay, tumen kin antal ka'an ba'a teech. / Тогда продолжай мечтать, потому что я буду на вершине перед тобой. 
v1;60;To'on paakat... to'on paakat. / Ну посмотрим... посмотрим.

newchat;key:indians,weigth:8;
v1;0;Indians il máas hets' óol kex normans, ¿ma'? / Хинди кажутся более мирными, чем норманы, не так ли?
v2;30;Kux, wale' to'on páathal óot nuuch yiknal letio'ob. / Да, может, нам стоит попробовать с ними объединиться. 
v1;60;Hmm... Kux, le túun wale' to'on páathal k'óoch normans, wa Byzantines. / Хмм..Да, тогда, возможно, вместе мы могли бы совершить набег на норманов или даже византийцев.

newchat;key:gravity,weigth:7;
v1;0;K'iin yaan kóom waye' lu'um. / Дни в этих землях гораздо короче.
v2;30;Ka, yéetel lu'um chíikpahal báab ichmáal. / Да, и земля, кажется, иногда плавает.
v1;60;Chichan yaah... yéetel sa'am. / За исключением гравия... и песка.
v2;90;Kin k'áat ba'ax ten. / Интересно, почему. 

newchat;key:obsidian,v1:vtype:mayan_obsidiancrafter,weigth:8;
v1;0;Nu'ukul yéetel ts'oon utia'al obsidiana yaan máas hats'uts. / Обсидиановые инструменты и оружие самые изящные.
v2;30;Hats'uts ba'ale kex mix máak páahtal yaan wa hayp'éel. / Так роскошно, каждый может иметь несколько.
v1;60;Bahab yaan ma'alob tia'al peech' ich a ch’a’ k’uxta’an. / Булава отлично подойдёт для сокрушения врагов. 
v2;90;¿Haahil? Kin yaakun il hun ts'aa ich péek. / Правда? Я хотел бы увидеть её в действии.

newchat;key:mayanarchitecture,weigth:7;
v1;0;Nahil maya antal tsíib máas chichha'an ti' lu'um.  / Архитектура майя лучшая в этих землях. 
v2;30;Yaan yiknal túulis áaktum utia'al tuunich ka to'on beet lelo' hats'utsil. / Именно из этого камня мы строим эти красоты.
v1;60;Kin k'áat bahux nah utai'al tuunich to'on yaan ka beet. / Интересно, сколько ещё каменных домов мы построим?
v2;90;Chéen k'iin a'al, amikoo./ Время покажет, друг.

newchat;key:cacaoyer,weigth:7;
v1;0;Здесь мало какао-деревьев, это место нам не подходит.
v2;40;Давай посадим немного.
v1;80;Говорю Вам! Какао-бобыочень ценны!
v2;120;Ek Chuah поможет нам.

newchat;key:chickenegg,weigth:5;
v1;0;Нам не хватает кур, чтобы совершить жервтоприношение.
v2;40;Я думаю, мы прошли мимо $name. Давайте купим у него яйца.
v1;90;Вы правы, давайте сделаем это.

newchat;key:ahmunghanan,weigth:6;
v1;0;Благодаря Ah Mun и Ghanan наши урожаи хороши. Хвала им!
v2;30;Давайте благодарим их во время молитвы.
v1;80;Что мы можем предложить им?
v2;120;Не глупи! Нашу кровь, конечно!

newchat;key:badweather,weigth:8;
v1;0;Chac сердится. Плохая погода.
v2;40;Мы недостаточно молимся.

newchat;key:monotheisme,weigth:4;
v1;0;В самом деле? $name монотеист?
V2;35;Он, кажется, не воспринимает нашу религию всерьез ...
v1;75;Да ладно, он не настолько глуп, чтобы не верить в наших Богов.

newchat;key:mayangods,v1:adult,v2:adult,weigth:8;
v1;0;Вера - наше единственное оружие.
v2;40;Учитывая нашу ситуацию, мы должны наказать тех, кто оскорбляет наших богов.
v1;80;Конечно, мы должны наказать их, чтобы не обижать богов.

newchat;key:poktapok,weigth:7;
v1;0;Я люблю Пок-та-Пок!
v2;40;Я тоже! Учитывая то, что это одно из немногих наших увлечений.
v1;80;Это правда. Становится скучновато... И я потерял свой последний мяч!

newchat;key:year,weigth:5;
v1;0;Мы раньше всех узнали, что год длится ровно 365.2420 дней.
v2;40;Мы хороши во всех областях: математика, искусство, география ...

newchat;key:puja,weigth:6;
v1;0;Вы шли молиться?
v2;35;Конечно! Настоящий майя должен молиться!
v1;80;Ха-ха! Ну конечно! Какой глупый вопрос я задал.

newchat;key:endofworld,weigth:3;
v1;0;Наши шаманы и наши астрологи что-то увидели.
v2;40;Правда? И что же?
v1;80;Они видят важное событие в 2012 году.
v2;120;Вы не думаете, что нам до этих времен слишком далеко?

newchat;key:xaire,weigth:3;
v1;0;Хайре, $targetfirstname!
v2;30;Хайре? Что такое "Хайре"?
v1;70;Византийцы поприветствовали меня таким образом.
v2;110;Хэй. Ты же майя. Давай приветствовать друг друга на нашем языке.
v1;150;Настоящий майя должен обладать знаниями во всех областях.
v2;200;Я соглашусь, что хорошо говорить на нескольких языках, но Вы не будете так говорить в деревне!

newchat;key:bloodbis,v1:adult,v2:adult,weigth:2;
v1;0;Давайте изуродуем себя во время следующих молитв.
v2;40;Я уже это сделал. А Вы?
v1;80;Я-я-я предпочитаю сохранять свою кровь.
v2;120;И теперь, Вы сделаете это снова! Каждый раз, когда Вы решаете на это, Вы передумаете!
v1;160;Я не хочу!
v2;200;Вы отказываетесь чтить наших богов?!

newchat;key:cacao,weigth:6;
v1;0;Какао полезное и вкусное...
v2;40;Полезное без сомнения! Но вкусное ли? Конечно нет! Вах намного лучше.
v1;80;Какао - любимая еда богов. Ешьте то, что они Вам предлагают.

newchat;key:reborn,weigth:7;
v1;0;Какая замечательная бабочка. Может быть, это наш друг, принесенный в жертву четыре года назад?
v2;40;Я думаю, что он стал бы колибри!
v1;80;Мы не можем этого знать.
