//name, selling price, buying price, reserved quantity, target quantity, foreign merchant price, auto-generated, needed equipment(deprecated), minimum reputation,  desc code for the help screen
normanplate,20*64,20*60,0,0,,,,8*64*64,weapons
normanLegs,8*64,8*60,0,0,,,,8*64*64,weapons
normanBoots,5*64,5*60,0,0,,,,8*64*64,weapons

normanPickaxe,10*64,9*64,1,1,,,,2*64*64,tools
normanAxe,10*64,9*64,1,1,,,,2*64*64,tools
normanShovel,10*64,9*64,1,1,,,,2*64*64,tools
normanHoe,10*64,9*64,1,1,,,,2*64*64,tools
stonePickaxe,0,3,0,0, 0,false,,0,foreigntrade
stoneAxe,0,3,0,0, 0,false,,0,foreigntrade
stoneShovel,0,1,0,0, 0,false,,0,foreigntrade
stoneHoe,0,2,0,0, 0,false,,0,foreigntrade
steelPickaxe,0,20*3,0,0, 0,false,,0,foreigntrade
steelAxe,0,20*3,0,0, 0,false,,0,foreigntrade
steelShovel,0,20*1,0,0, 0,false,,0,foreigntrade
steelHoe,0,20*2,0,0, 0,false,,0,foreigntrade
diamondPickaxe,0,3*64*3,0,0, 0,false,,0,foreigntrade
diamondAxe,0,3*64*3,0,0, 0,false,,0,foreigntrade
diamondShovel,0,3*64*1,0,0, 0,false,,0,foreigntrade
diamondHoe,0,3*64*2,0,0, 0,false,,0,foreigntrade
mayanpickaxe,0,7*64,0,0, 0,false,,0,foreigntrade
mayanaxe,0,7*64,0,0, 0,false,,0,foreigntrade
mayanshovel,0,7*64,0,0, 0,false,,0,foreigntrade
mayanhoe,0,7*64,0,0, 0,false,,0,foreigntrade

byzantinePickaxe,0,10*80,0,0,,,,0,foreigntrade
byzantineAxe,0,10*80,0,0,,,,0,foreigntrade
byzantineShovel,0,10*80,0,0,,,,0,foreigntrade
byzantineHoe,0,10*80,0,0,,,,0,foreigntrade

bookshelves,220,166,8,16, 0,false,,0,construction
bottle,5,0,16,64, 0,false,,0,crafting
netherwart,32,0,16,64, 0,false,,0,crafting
akwardpotion,48,0,16,64,0,false,,0,crafting

purse,32*64,0,0,0,0,true,,0,playeritem
summoningwand,2*64*64,0,0,0,0,true,,8*64*64,playeritem




tapestry,5*64,5*60,0,0,10*64,,,2*64*64,construction
timberframeplain,16,14,0,1024,0,false,0,0,construction
timberframecross,20,18,0,512,0,false,0,0,construction


stained_glass_white,64,60,0,64,0,false,0,0,construction
stained_glass_yellow,2*64,2*60,0,64,0,false,0,0,construction
stained_glass_yellow_red,2*64,2*60,0,64,0,false,0,0,construction
stained_glass_red_blue,4*64,4*60,0,64,0,false,0,0,construction
stained_glass_green_blue,4*64,4*60,0,64,0,false,0,0,construction

rosette,8*64,8*60,0,64,0,false,0,0,construction

//For viking seller
yggdrasil_amulet,0,0,0,0,32*64,false,0,0,foreigntrade
skoll_hati_amulet,0,0,0,0,64*64,false,0,0,foreigntrade



//for plant seller
sapling,0,0,0,0,2,false,0,0,foreigntrade
sapling_pine,0,0,0,0,2,false,0,0,foreigntrade
sapling_birch,0,0,0,0,2,false,0,0,foreigntrade
pumpkin,0,0,0,0,8,false,0,0,foreigntrade
redFlower,0,0,0,0,8,false,0,0,foreigntrade
yellowFlower,0,0,0,0,8,false,0,0,foreigntrade
sugarcane,0,0,0,0,48,false,0,0,foreigntrade

//For oriental seller
cactus,0,0,0,0,16,false,0,0,foreigntrade

//for art seller
painting,0,0,0,0,32,false,0,0,foreigntrade
dye_orange,0,0,0,0,4,false,0,0,foreigntrade
dye_magenta,0,0,0,0,32,false,0,0,foreigntrade


dye_green,0,0,0,0,20,false,0,0,foreigntrade
dye_pink,0,0,0,0,16,false,0,0,foreigntrade
dye_gray,0,0,0,0,24,false,0,0,foreigntrade
dye_lightgray,0,0,0,0,32,false,0,0,foreigntrade
dye_cyan,0,0,0,0,64,false,0,0,foreigntrade
dye_purple,0,0,0,0,48,false,0,0,foreigntrade
dye_blue,0,0,0,0,64,false,0,0,foreigntrade
dye_brown,0,0,0,0,16*64,false,0,0,foreigntrade
dye_black,0,0,0,0,8,false,0,0,foreigntrade

banner_white,64,58,4,16,0,false,,0,construction
norpattern,64,0,0,0,0,true,,8192,crafting
